report_id,site,department,report_type,event_timestamp,description,immediate_action,is_synthetic,source_system,source_record_id
DEMO-001,Duliajan · Demo,Maintenance,Near Miss,2026-09-22T13:48:40.247138+00:00,Worker was observed standing beneath a suspended pipe while crane lifting activity was underway. No injury occurred.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-001
DEMO-002,Duliajan · Demo,Operations,Unsafe Condition,2026-09-19T12:48:40.247138+00:00,A technician was inside the lifting zone beside a crane and suspended load. Exclusion zone barricade was damaged. No injury was recorded.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-002
DEMO-003,Duliajan · Demo,Operations,Unsafe Act,2026-09-16T11:48:40.247138+00:00,A helper entered crane radius during lifting. A suspended pipe was moving. No injury occurred.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-003
DEMO-004,Moran · Demo,Maintenance,Incident,2026-09-13T10:48:40.247138+00:00,A person crossed below the load during crane lifting activity. The exclusion zone was missing.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-004
DEMO-005,Moran · Demo,Operations,Near Miss,2026-08-25T09:48:40.247138+00:00,During operation the pressure safety valve was found gagged/bypassed. No injury or release was reported.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-005
DEMO-006,Moran · Demo,Operations,Unsafe Condition,2026-08-18T08:48:40.247138+00:00,During process operation the PSV was bypassed on the separator. Personnel were near the vessel.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-006
DEMO-007,Naharkatiya · Demo,Maintenance,Unsafe Act,2026-08-11T07:48:40.247138+00:00,During operation the pressure relief valve failed on the vessel. No release was recorded.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-007
DEMO-008,Naharkatiya · Demo,Operations,Incident,2026-08-04T06:48:40.247138+00:00,Maintenance on a pump exposed a rotating shaft. Lockout was absent. No injury occurred.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-008
DEMO-009,Naharkatiya · Demo,Operations,Near Miss,2026-09-21T13:48:40.247138+00:00,A technician working on an energized motor found the isolation bypassed during maintenance.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-009
DEMO-010,Digboi · Demo,Maintenance,Unsafe Condition,2026-09-14T12:48:40.247138+00:00,Maintenance on a motor started while LOTO was not verified. No injury was recorded.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-010
DEMO-011,Digboi · Demo,Operations,Unsafe Act,2026-09-07T11:48:40.247138+00:00,Excavation work was observed close to a marked pipeline route. Permit details and underground line verification were not available.,Reported to the site HSE team for review.,True,SYNTHETIC_DEMO,DEMO-011
